COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
BCMB4970R,Faculty-Mentored Undergraduate Research II,55583,Kevin McCully,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB4970R,Faculty-Mentored Undergraduate Research II,55612,Jesse Schank,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB4970R,Faculty-Mentored Undergraduate Research II,55696,Vladimir Reukov,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4970R,Faculty-Mentored Undergraduate Research II,55782,Ryan Weiss,No days set,0001-2359,No Classroom Required,NCRR,3
BCMB4970R,Faculty-Mentored Undergraduate Research II,55826,Kosuke Funato,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4970R,Faculty-Mentored Undergraduate Research II,55862,William Lanzilotta,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4970R,Faculty-Mentored Undergraduate Research II,56020,Nadja Zeltner,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,55206,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,55378,Jorge Escalante,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,55379,Cordula Schulz,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,55493,Cory Momany,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,55582,Maor Bar-Peled,No days set,0001-2359,No Classroom Required,NCRR,2
BCMB4980R,Faculty-Mentored Undergraduate Research III,59518,Zachary Wood,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB4980R,Faculty-Mentored Undergraduate Research III,63317,Robert Phillips,No days set,0001-2359,No Classroom Required,NCRR,2
BCMB4990R,Undergraduate Research Thesis (or Final Project),69655,Robert Haltiwanger,No days set,0001-2359,No Classroom Required,NCRR,0
BCMB4990R,Undergraduate Research Thesis (or Final Project),69839,Michael Adams,No days set,0001-2359,No Classroom Required,NCRR,0
BCMB6010,Biochemistry and Molecular Biology I,46018,William Lanzilotta,M,1700-1750,Life Sci F.Davison,C127,23
BCMB6010,Biochemistry and Molecular Biology I,46018,William Lanzilotta,TR,1555-1710,Life Sci F.Davison,C127,23
BCMB6020,Biochemistry and Molecular Biology II,25743,Michael Adams,MWF,1350-1440,Life Sci F.Davison,C127,21
BCMB6200,Biotechnology,26020,Michael Adang,TR,1110-1225,Life Sci F.Davison,C127,10
BCMB7000,Master's Research,38503,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,0
BCMB8060,Biochemistry and Molecular Biology Seminar,25760,Zachary Wood,W,0910-1000,No Classroom Required,NCRR,12
BCMB8070,Research Discussion,58569,Michael Adams,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58571,Timothy Bolger,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58574,Kosuke Funato,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58576,Adam Barb,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58578,Maor Bar-Peled,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58628,Maria Cassera,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58630,Robert Phillips,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58632,Erin Dolan,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58732,Robert Haltiwanger,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58766,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58768,David Garfinkel,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58770,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58774,Franklin Leach,No days set,0001-2359,No Classroom Required,NCRR,10
BCMB8070,Research Discussion,58776,Natalie Krahn,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58778,Kelley Moremen,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58780,Camilo Perez,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58782,Walter Schmidt,No days set,0001-2359,No Classroom Required,NCRR,10
BCMB8070,Research Discussion,58784,Michael Terns,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,58786,Michael Tiemeyer,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,58788,Breeanna Urbanowicz,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB8070,Research Discussion,58790,Ryan Weiss,No days set,0001-2359,No Classroom Required,NCRR,5
BCMB8070,Research Discussion,58792,Robert Wells,No days set,0001-2359,No Classroom Required,NCRR,3
BCMB8070,Research Discussion,58795,Christopher West,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58798,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58814,Debra Mohnen,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,58817,Nadja Zeltner,No days set,0001-2359,No Classroom Required,NCRR,6
BCMB8070,Research Discussion,58821,Natalia Ivanova,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8070,Research Discussion,59220,Paula Lemons,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,61729,Zachary Wood,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,61732,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB8070,Research Discussion,62648,Anumantha Kanthasamy,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,62722,Julie Stanton,No days set,0001-2359,No Classroom Required,NCRR,10
BCMB8070,Research Discussion,62880,Ian Wallace,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB8070,Research Discussion,62883,William Lanzilotta,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB8070,Research Discussion,69404,Amy Medlock,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB8070,Research Discussion,69427,Parastoo Azadi,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58629,Maria Cassera,No days set,0001-2359,No Classroom Required,NCRR,16
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58767,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,18
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58769,David Garfinkel,No days set,0001-2359,No Classroom Required,NCRR,19
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58773,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,19
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58777,Amy Medlock,No days set,0001-2359,No Classroom Required,NCRR,19
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58783,Walter Schmidt,No days set,0001-2359,No Classroom Required,NCRR,20
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58785,Michael Terns,No days set,0001-2359,No Classroom Required,NCRR,18
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58789,Breeanna Urbanowicz,No days set,0001-2359,No Classroom Required,NCRR,16
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58791,Ryan Weiss,No days set,0001-2359,No Classroom Required,NCRR,2
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58799,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,20
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58818,Natalia Ivanova,No days set,0001-2359,No Classroom Required,NCRR,12
BCMB8080,Current Literature in Biochemistry and Molecular Biology,58822,Natalia Ivanova,No days set,0001-2359,No Classroom Required,NCRR,18
BCMB8080,Current Literature in Biochemistry and Molecular Biology,61730,Zachary Wood,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB8080,Current Literature in Biochemistry and Molecular Biology,61733,Tessa Andrews,No days set,0001-2359,No Classroom Required,NCRR,14
BCMB8080,Current Literature in Biochemistry and Molecular Biology,62652,Timothy Bolger,No days set,0001-2359,No Classroom Required,NCRR,16
BCMB8080,Current Literature in Biochemistry and Molecular Biology,62723,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,19
BCMB8113,"Advanced Genetics, Cell Biology, Biochemistry, and Molecular Biology (1a)",42871,Kelley Moremen,TR,0830-1030,Coverdell Center,175,5
BCMB8114,"Advanced Genetics, Cell Biology, Biochemistry, and Molecular Biology (1b)",42874,Kelley Moremen,TR,0830-1030,Coverdell Center,175,5
BCMB8190,NMR Spectroscopy of Biomolecules,67910,Jeffrey Urbauer,TR,1730-1845,I-STEM 2,2205,8
BCMB8211E,Advanced Methods for Biological Data Analyses,67913,Shaying Zhao,TR,1245-1400,No Classroom Required,NCRR,5
BCMB8330,Macromolecular Simulations,62660,Robert Woods,TR,1555-1710,Life Sci F.Davison,C122,1
BCMB8960,Genetics of Yeast and Filamentous Fungi,60869,Chang Khang,TR,1245-1400,Miller Plant Sci,2507,12
BCMB8990,Problems in Biochemistry and Molecular Biology,50799,Robert Wells,W,1500-1700,No Classroom Required,NCRR,10
BCMB9000,Doctoral Research,33491,Michael Adams,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33499,Timothy Bolger,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,33518,Maor Bar-Peled,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33522,Adam Barb,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,33525,Robert Phillips,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33528,David Garfinkel,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33531,Walter Schmidt,No days set,0001-2359,No Classroom Required,NCRR,10
BCMB9000,Doctoral Research,33534,Franklin Leach,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33538,Natalie Krahn,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,33545,Julie Stanton,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33548,Erin Dolan,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33552,Kelley Moremen,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33559,Camilo Perez,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,33564,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33571,Michael Terns,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,33575,Michael Tiemeyer,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33578,Ryan Weiss,No days set,0001-2359,No Classroom Required,NCRR,5
BCMB9000,Doctoral Research,33581,Robert Wells,No days set,0001-2359,No Classroom Required,NCRR,3
BCMB9000,Doctoral Research,33586,Christopher West,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33592,Paula Lemons,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33599,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33608,Debra Mohnen,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33704,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,33779,Natalia Ivanova,No days set,0001-2359,No Classroom Required,NCRR,7
BCMB9000,Doctoral Research,33949,Breeanna Urbanowicz,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB9000,Doctoral Research,38805,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,38808,Robert Haltiwanger,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,43050,Maria Cassera,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,43113,Kosuke Funato,No days set,0001-2359,No Classroom Required,NCRR,9
BCMB9000,Doctoral Research,43695,Ian Wallace,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,47901,William Lanzilotta,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB9000,Doctoral Research,51351,Nadja Zeltner,No days set,0001-2359,No Classroom Required,NCRR,6
BCMB9000,Doctoral Research,55370,Amy Medlock,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB9000,Doctoral Research,61731,Zachary Wood,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9000,Doctoral Research,61734,Parastoo Azadi,No days set,0001-2359,No Classroom Required,NCRR,4
BCMB9000,Doctoral Research,62654,Anumantha Kanthasamy,No days set,0001-2359,No Classroom Required,NCRR,8
BCMB9300,Doctoral Dissertation,33773,Maor Bar-Peled,No days set,0001-2359,No Classroom Required,NCRR,0
BCMB9300,Doctoral Dissertation,33886,Nadja Zeltner,No days set,0001-2359,No Classroom Required,NCRR,2
BCMB9300,Doctoral Dissertation,34105,David Garfinkel,No days set,0001-2359,No Classroom Required,NCRR,1
BCMB9300,Doctoral Dissertation,39420,Adam Barb,No days set,0001-2359,No Classroom Required,NCRR,0
BCMB9300,Doctoral Dissertation,39423,Walter Schmidt,No days set,0001-2359,No Classroom Required,NCRR,0
BINF7000,Master's Research,51813,Pejman Rohani,No days set,0001-2359,No Classroom Required,NCRR,0
BINF7960,Software Carpentries for Scientific Programming,68000,Yun Tao,WR,0800-1700,Marine Sci - Dance,239,14
BINF7960,Software Carpentries for Scientific Programming,68278,Natalie Cohen,MT,0800-1700,Marine Sci - Dance,239,15
BINF7960,Software Carpentries for Scientific Programming,68279,Yun Tao,T,1110-1225,Forest Resources-4,418,10
BINF7990,Directed Study in Bioinformatics,69809,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8001,Graduate Professional Development,44037,Holly Bik,T,1245-1400,Life Sci F.Davison,B118,-1
BINF8006,Programming and Data Structures for Bioinformatics,57232,Jan Mrazek,TR,1420-1535,Life Sci F.Davison,C128,-2
BINF8060,Bioinformatics Seminar,64096,Yun Tao,F,1130-1220,Life Sci F.Davison,B118,1
BINF8061,Directed Study in Research Communication,34975,Travis Glenn,F,1020-1110,Life Sci F.Davison,B118,3
BINF8140,Functional Genomics,48103,Chung-Jui Tsai,TR,0935-1050,Life Sci F.Davison,C130,10
BINF8211E,Advanced Methods for Biological Data Analyses,67911,Shaying Zhao,TR,1245-1400,No Classroom Required,NCRR,2
BINF8330,Macromolecular Simulations,37959,Robert Woods,TR,1555-1710,Life Sci F.Davison,C122,4
BINF8350,Molecular Phylogenetics and Evolution,24952,Douda Bensasson,MW,1130-1220,Miller Plant Sci,2507,5
BINF8350L,Molecular Phylogenetics and Evolution,24957,Douda Bensasson,F,1350-1545,Miller Plant Sci,2507,5
BINF8441E,Statistical Inference for the Life Sciences,64050,Liang Liu,No days set,0001-2359,No Classroom Required,NCRR,-3
BINF8900L,Bioinformatics Lab Rotation,62889,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8940E,Applied Genome Analysis,67376,Casey Bergman,TR,1245-1400,No Classroom Required,NCRR,0
BINF8960,Advanced Software Carpentries for Scientific Programming,68018,Yun Tao,WR,0800-1700,Marine Sci - Dance,239,15
BINF8960,Advanced Software Carpentries for Scientific Programming,68034,Natalie Cohen,MT,0800-1700,Marine Sci - Dance,239,4
BINF8960,Advanced Software Carpentries for Scientific Programming,68277,Yun Tao,T,1110-1225,Forest Resources-4,418,11
BINF8970,Current Topics in Research,22469,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,22471,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,22472,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,22474,Casey Bergman,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,22476,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,22477,Eugene Douglass,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,32853,Holly Bik,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,32854,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,3
BINF8970,Current Topics in Research,32856,Jason Wallace,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,32857,Jessica Kissinger,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,32860,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,32861,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,33280,Justin Bahl,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,33293,Kaixiong Ye,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,33836,R Dawe,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,38750,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,39105,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,2
BINF8970,Current Topics in Research,47424,Pejman Rohani,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,47508,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,51295,Robert Schmitz,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,51296,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,51373,Spencer Fox,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,51722,Travis Glenn,No days set,0001-2359,No Classroom Required,NCRR,1
BINF8970,Current Topics in Research,51725,Adrienne Hoarfrost,No days set,0001-2359,No Classroom Required,NCRR,0
BINF8970,Current Topics in Research,58347,He Li,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,23931,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23939,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23942,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23944,Casey Bergman,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23946,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23952,Eugene Douglass,No days set,0001-2359,No Classroom Required,NCRR,2
BINF9000,Doctoral Research,23964,Holly Bik,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23973,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,3
BINF9000,Doctoral Research,23974,Jason Wallace,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23976,Jessica Kissinger,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23977,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,23979,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,23981,Justin Bahl,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,33281,Kaixiong Ye,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,33291,R Dawe,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,37195,Leidong Mao,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,39104,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,2
BINF9000,Doctoral Research,47086,Pejman Rohani,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,47422,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,47507,Robert Schmitz,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,51372,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,51474,Spencer Fox,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,51728,Travis Glenn,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9000,Doctoral Research,55367,Adrienne Hoarfrost,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9000,Doctoral Research,58453,He Li,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,23984,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,23986,Jason Wallace,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,23987,Jan Mrazek,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,23988,Jessica Kissinger,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,23991,Robert Schmitz,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,27300,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,36429,R Dawe,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,39106,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,42960,Shaying Zhao,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,43051,Jessica Kissinger,No days set,0001-2359,No Classroom Required,NCRR,2
BINF9300,Doctoral Dissertation,43257,Kaixiong Ye,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,47087,Travis Glenn,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,47559,Justin Bahl,No days set,0001-2359,No Classroom Required,NCRR,1
BINF9300,Doctoral Dissertation,68650,Natarajan Kannan,No days set,0001-2359,No Classroom Required,NCRR,2
BINF9300,Doctoral Dissertation,68651,Jonathan Arnold,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,68652,Robert Woods,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,68653,Leidong Mao,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,69638,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,0
BINF9300,Doctoral Dissertation,69885,Arthur Edison,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE2100,The Bioengineering Professional Persona,57523,John Brocato,TR,1110-1225,Driftmier Eng Ctr,1401,-4
BIOE2100,The Bioengineering Professional Persona,61458,John Brocato,TR,0800-0915,Driftmier Eng Ctr,1310,5
BIOE2100,The Bioengineering Professional Persona,69106,John Brocato,MW,1240-1355,Driftmier Eng Ctr,1311,20
BIOE3720,Engineering Physiology,53514,Karen Hallow,TR,0800-0915,Driftmier Eng Ctr,1290,22
BIOE4615,Soft Materials,68763,Jason Locklin,TR,1245-1400,I-STEM 2,1218,9
BIOE4650,Animal Cell Biomanufacturing,50186,James Warnock,TR,0935-1050,Driftmier Eng Ctr,1350,7
BIOE4720,Human Factors and Ergonomics in Biomedical Device Design,61456,William Kisaalita,MWF,1240-1330,Driftmier Eng Ctr,1350,20
BIOE4740,Biomaterials,52938,Elizabeth Brisbois,TR,1555-1710,Driftmier Eng Ctr,1350,22
BIOE4760,Biomechanics,45150,Eric Freeman,MWF,0910-1000,I-STEM 2,1218,29
BIOE4911,Capstone Design II,45140,Cheryl Gomillion,W,1720-1915,Driftmier Eng Ctr,1350,4
BIOE4960R,Faculty-Mentored Undergraduate Research I,55293,Vladimir Reukov,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,55996,Hitesh Handa,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69805,Kenan Song,No days set,0001-2359,No Classroom Required,NCRR,1
BIOE4960R,Faculty-Mentored Undergraduate Research I,69806,Yang Liu,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69807,Ramana Pidaparti,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69808,Hitesh Handa,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69883,Eric Freeman,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69948,Thirimachos Bourlai,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4960R,Faculty-Mentored Undergraduate Research I,69963,Kenan Song,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE4980R,Faculty-Mentored Undergraduate Research III,66612,Cheryl Gomillion,No days set,0001-2359,No Classroom Required,NCRR,0
BIOE6615,Soft Materials,68748,Jason Locklin,TR,1245-1400,I-STEM 2,1218,7
BIOE6650,Animal Cell Biomanufacturing,69318,James Warnock,TR,0935-1050,Driftmier Eng Ctr,1350,5
BIOE6720,Human Factors and Ergonomics in Biomedical Device Design,61457,William Kisaalita,MWF,1240-1330,Driftmier Eng Ctr,1350,7
BIOE6740,Biomaterials,52939,Elizabeth Brisbois,TR,1555-1710,Driftmier Eng Ctr,1350,6
BIOE6760,Biomechanics,45152,Eric Freeman,MWF,0910-1000,I-STEM 2,1218,9
BIOE8210,Multiscale Biomechanics,64304,He Li,TR,0935-1050,Driftmier Eng Ctr,1355,4
BIOE8490,Advanced Biomaterials,45880,Hitesh Handa,R,1110-1225,I-STEM 2,1251,2
BIOE8490,Advanced Biomaterials,45880,Hitesh Handa,T,1110-1225,I-STEM 2,2205,2
BIOE8510,Dynamic Systems Modeling of Physiology and Pharmacology,67420,Karen Hallow,TR,1245-1400,Driftmier Eng Ctr,1361,3
BIOE8980,Advanced Topics in Biological Engineering,68744,Luke Mortensen,TR,1420-1535,Driftmier Eng Ctr,1361,6
BIOL1103,Concepts in Biology,20267,Marguerite Brickman,MWF,1130-1220,Science Learning Center,285,1
BIOL1103,Concepts in Biology,20269,Marguerite Brickman,MWF,1350-1440,Science Learning Center,285,86
BIOL1103L,Concepts in Biology Laboratory,28356,Carter Watson,M,0910-1105,Science Learning Center,321,0
BIOL1103L,Concepts in Biology Laboratory,28357,Kristen Miller,M,0910-1105,Science Learning Center,325,3
BIOL1103L,Concepts in Biology Laboratory,28358,Hannah Nichols,M,1130-1325,Science Learning Center,321,1
BIOL1103L,Concepts in Biology Laboratory,28359,Kristen Miller,M,1130-1325,Science Learning Center,325,4
BIOL1103L,Concepts in Biology Laboratory,28361,Hannah Nichols,M,1350-1545,Science Learning Center,321,0
BIOL1103L,Concepts in Biology Laboratory,28362,Carter Watson,M,1350-1545,Science Learning Center,325,1
BIOL1103L,Concepts in Biology Laboratory,28363,Kristen Miller,T,0800-0955,Science Learning Center,325,0
BIOL1103L,Concepts in Biology Laboratory,28368,Audrey Ward,T,1110-1305,Science Learning Center,325,0
BIOL1103L,Concepts in Biology Laboratory,28369,Audrey Ward,T,1420-1615,Science Learning Center,325,3
BIOL1103L,Concepts in Biology Laboratory,61858,Matthew Protsman,W,1020-1215,Science Learning Center,325,4
