COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
FHCE9010,"Directed Study in Financial Planning, Housing and Consumer Economics",47614,Kimberly Skobba,No days set,0001-2359,No Classroom Required,NCRR,3
FHCE9010,"Directed Study in Financial Planning, Housing and Consumer Economics",47804,Diann Moorman,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9300,Doctoral Dissertation,32743,Dee Warmath,No days set,0001-2359,No Classroom Required,NCRR,3
FHCE9300,Doctoral Dissertation,37964,Swarnankur Chatterjee,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9300,Doctoral Dissertation,38350,Patryk Babiarz,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9300,Doctoral Dissertation,42288,Lu Fan,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9300,Doctoral Dissertation,51364,Kristy Pederson-Archuleta,No days set,0001-2359,No Classroom Required,NCRR,4
FILM2000,Introduction to On-Set Film Production,54862,Richard Neupert,F,0900-1500,Athena Studios,Not set,8
FILM2010,Set Construction and Scenic Painting,68458,Richard Neupert,T,0900-1500,Building not yet assigned,Not set,0
FILM2020,Electric and Lighting,65309,Richard Neupert,W,0900-1500,Building not yet assigned,Not set,1
FILM2030,Grip and Rigging,62311,Richard Neupert,M,0900-1500,Building not yet assigned,Not set,1
FILM2120,Introduction to Cinema,49210,Christopher Sieving,F,1130-1220,Fine Arts,400,4
FILM2120,Introduction to Cinema,49210,Christopher Sieving,W,1500-1700,Fine Arts,400,4
FILM2120,Introduction to Cinema,49210,Christopher Sieving,MW,1130-1220,Fine Arts,400,4
FILM2120,Introduction to Cinema,49213,Christopher Sieving,MW,1130-1220,Fine Arts,400,15
FILM2120,Introduction to Cinema,49213,Christopher Sieving,F,1130-1220,Fine Arts,350,15
FILM2120,Introduction to Cinema,49213,Christopher Sieving,W,1500-1700,Fine Arts,400,15
FILM2120,Introduction to Cinema,67964,Christopher Sieving,W,1500-1700,Fine Arts,400,11
FILM2120,Introduction to Cinema,67964,Christopher Sieving,F,1500-1550,Fine Arts,350,11
FILM2120,Introduction to Cinema,67964,Christopher Sieving,MW,1130-1220,Fine Arts,400,11
FILM4100,Latinx Film and Visual Culture,67994,Rielle Navitski,TR,1245-1400,Fine Arts,310,13
FILM4100,Latinx Film and Visual Culture,67994,Rielle Navitski,T,1420-1710,Fine Arts,400,13
FILM4260,History of Cinema II (1945-1990),67982,Rielle Navitski,R,1420-1710,Fine Arts,400,12
FILM4260,History of Cinema II (1945-1990),67982,Rielle Navitski,TR,1110-1225,Fine Arts,400,12
FILM4270,History of Cinema III (1990-Present),67962,Christopher Sieving,MW,0910-1110,Fine Arts,53,0
FILM4270,History of Cinema III (1990-Present),67962,Christopher Sieving,M,1500-1700,Fine Arts,53,0
FILM4600,Women and Film,61115,Antje Ascheid,TR,1110-1225,Fine Arts,53,12
